team_id,player_name,player_id
198,S. Alajiki,4708166
26,L. Stefanovic,4708167
213,Z. Hicks,4708214
2097,C. Zurliene,4708340
304,J. O'Neil,4708536
2197,A. Stapleton,4708648
145,S. Pedulla,4709131
84,M. Rice,4709133
253,H. Miller,4709140
28,J. Rochelin,4709142
2335,J. Maughmer,4709895
2612,M. Randolph,4710356
2754,J. Nelson,4710358
2755,P.J. Edwards,4710427
149,A. Patterson,4710625
194,M. Johnson Jr.,4710770
233,M. Buom,4711108
28,A. Tait-Jones,4711203
127,J. Fears Jr.,4711255
150,C. Foster,4711256
2752,T. Green,4711258
356,D. Gibbs-Lawhorn,4711259
194,A. Parks,4711260
2739,J. Johnson,4711262
259,J. Young,4711266
26,S. Mack,4711270
2550,S. Middleton,4711279
2608,A. Hardaway,4711280
38,A. Diop,4711295
127,X. Booker,4711304
96,B. Garrison,4711306
2250,B. Gregg,4711313
264,F. Kepnang,4711400
2608,J. Ross,4711402
167,M. Amzil,4711607
252,F. Traore,4712348
27,B. Hargress,4712832
153,S. Trimble,4712836
2226,L. Walker,4712838
259,J. Schutt,4712846
145,M. Dia,4712862
156,I. Traudt,4712866
221,C. Corhen,4712902
23,S. Hall,4713935
275,M. Ilver,4715351
338,A. Weir,4741885
2097,B. Bidwell,4782965
183,K. Cuffe Jr.,4816087
9,A. Mason,4816113
2509,B. Waddell,4823976
201,G. Taylor Jr.,4833075
156,J. Neal,4837237
130,T. Donaldson,4837356
2116,T. Hendricks,4838703
259,P. Wessler,4838717
2535,R. Allenspach,4838752
305,L. Blocker,4845358
2483,J. Shelstad,4845361
2908,C. Johnson,4845362
2649,S. Wilson,4845365
2377,T. Brown,4845366
167,T. Washington,4845368
154,T. Johnson,4845369
2440,T. Rolison,4845370
154,P. Friedrichsen,4845382
84,G. Cupps,4845387
2473,J. Jones,4845388
2086,F. Bizjack,4848619
120,D. Harris-Smith,4848622
222,K. Parker,4848623
2752,D. Swain,4848625
2443,MJ Thomas,4848628
2230,J. Tripp,4848629
152,D. Parker Jr.,4848630
66,M. Momcilovic,4848637
2633,C. Phillips,4848640
2294,Pr. Sandfort,4858604
2507,E. DeLaurier,4858612
30,W. Yates III,4869737
194,S. Stewart,4869739
142,M. Allen,4869762
153,E. Cadeau,4869764
30,I. Elohim,4869767
2,J. Howard,4869769
153,I. Jackson,4869770
8,K. Knox,4869777
2483,J. Phillips,4869779
120,D. Queen,4869780
2579,C. Scott,4869784
198,J. Skipper,4870563
66,J. Jefferson,4870564
2253,D. Brennan,4870569
87,L. Imes,4872727
127,C. Carr,4872740
2,T. Pettiford,4873089
333,L. Philon,4873090
2439,D. Thomas Jr.,4873093
96,T. Perry,4873100
259,B. Hammond,4873105
150,D. Harris,4873107
127,K. Teng,4873111
9,A. Ali,4873130
164,A. Bailey,4873138
228,D. Jones,4873143
183,D. Freeman,4873145
21,T. DeGourville,4873147
356,M. Johnson Jr.,4873153
59,D. Onwuchekwa,4873179
84,B. Tucker,4873180
333,J. Stevenson,4873181
333,A. Sherrell,4873184
97,K. Rooths,4873187
160,C. Middleton,4873194
2379,M. Vassel,4873199
328,I. Davis,4873202
2294,C. Koch,4873203
150,P. Ngongba II,4873209
2633,Z. Zeigler,4883573
158,G. Griffiths,4884255
2550,I. Coleman,4884257
163,J. Scott,4888720
339,C. Turnbull,4888885
2250,B. Huff,4894445
2509,M. Colvin,4894452
36,J. Crocker-Johnson,4894462
2294,O. Freeman,4894465
84,J. Newton,4895743
269,T. Norman,4895745
269,Z. Lowery,4895750
2084,B. Wilson,4895759
194,D. Royal,4895776
333,M. Dioubate,4895780
275,N. Winter,4895783
2628,I. Manning,4895786
213,K. Nzeh,4895787
254,Z. Keller,4896363
2541,A. Bal,4896365
325,T. Staveskie,4896368
57,W. Clayton Jr.,4896372
2405,S. Fagan,4896386
2031,T. Gatkek,4896453
228,J. Zackery,4896615
2463,S. Washington,4896852
2378,B. Johnson,4896859
135,T. Edmonds,4896871
2674,I. Shaw,4896885
2415,K. Oliver,4896934
2582,D. Tezeno,4896946
2130,C. Jernigan,4896956
2379,H. Perkins,4896959
252,T. Stewart,4896971
167,A. Atiki,4896973
97,R. Smith,4896994
259,B. Burnham,4896997
2066,W. Peterson Jr.,4897008
275,C. Hunter,4897018
2430,J. Saizonou,4897046
2755,S. Onu,4897072
2492,S. Todorovic,4897080
2230,J. Johnson III,4897088
150,S. Borden,4897107
150,S. Hubbard,4897108
2377,L. Evans IV,4897130
87,N. Konstantynovskyi,4897154
2117,A. Pritchard,4897155
2440,B. Love,4897159
50,T. Shirley,4897175
135,M. Mitchell Jr.,4897176
147,C. Nduka,4897190
2692,V. Vucinic,4897191
82,T. Freeman,4897194
2608,A. Marciulionis,4897197
325,I. Abidde,4897200
21,W. McKinney III,4897202
2430,M. Reath,4897206
2541,B. Knapper,4897209
2066,C. Walker,4897213
2031,J. Jefferson,4897214
2,J. Hudson,4897218
23,J. Uduje,4897224
93,T. Harcum,4897227
2379,J. Ware,4897238
2305,Z. Mayo,4897251
356,K. Kutcher,4897255
57,W. Richard,4897262
127,F. Fidler,4897263
2197,R. Bolis,4897268
2437,J. Streit,4897274
158,A. Morgan,4897275
233,P. Bruns,4897282
325,T. Smith,4897287
2099,J. Sangha,4897297
357,J. Roberts,4897299
357,O. Dease,4897302
2443,J. Vincent,4897328
249,J. Massie,4897338
2378,M. Banks Jr.,4897361
236,H. Huff,4897365
2430,J. Breath,4897370
2507,W. Cardet Jr.,4897374
2,JP Pegues,4897381
222,W. Poplar,4897397
2633,I. Milicic Jr.,4897404
204,M. Marsh,4897407
2335,Z. Yates,4897412
2294,C. Kingsbury,4897421
130,I. Burns,4897424
2272,A. Thiam,4897426
135,P. Fox,4897429
158,S. Hoiberg,4897432
2509,T. Kaufman-Renn,4897438
2655,L. Stephens,4897439
305,C. Enright,4897451
30,S. Thomas,4897471
302,TY Johnson,4897472
2739,F. Wonders,4897481
305,T. D'Amico,4897483
2099,C. Palesse,4897484
2739,P. Ruedinger,4897485
2674,D. DeAveiro,4897486
2,D. Jones,4897493
233,K. Stewart,4897498
276,W. Fricks,4897504
276,C. Thieneman,4897506
36,J. Lake,4897514
23,R. Vaihola,4897515
147,B. Zephir,4897519
2405,C. Morgan,4897522
249,M. Stone,4897523
68,A. Cardenas,4897535
2628,N. Reynolds,4897551
2335,B. Spell,4897571
2272,K. Giffa,4897575
2272,T. Benham,4897579
2349,Q. Clark,4897581
2097,T. Cook,4897617
328,A. Gateretse,4897618
